,EN,JP
CREDITS_ROLES_WYATT,Director / Writer / Lead Gameplay Programmer|UI Artist / Environment Art Assist. / Prop Artist Assist.,監督 / 脚本家 / リードプログラマー|インターフェイスアーティスト / アーティスト
CREDITS_ROLES_SAM,Character Artist / Lead Prop Artist / Gameplay Programmer,アーティスト/ プログラマー
CREDITS_ROLES_BRYCE_JACK,Level Designer / Gameplay Programmer,レベルデザイナー / プログラマー
CREDITS_ROLES_JOSEPH,Producer,プロデューサー
CREDITS_ROLES_RYAN,Lead Environment Artist,環境アーティスト
CREDITS_ROLES_ESLIS,Tools Programmer,ツールプログラマー
CREDITS_ROLES_ZACH,Audio Director|Composer / Sound Design,音響監督 / 編曲|サウンドデザイナー
CREDITS_ROLES_ANNA_TOMAS,Sound Design|Technical Audio, サウンドデザイナー|テクニカル音響
CREDITS_SPECIAL_THANKS,Special Thanks,謝辞
CREDITS_THANK_YOU,Thank you!,ありがとう！
UI_POPUP_ACTION_RESTRICTED,Action|Restricted,行動制限
UI_POPUP_FAIL_DEFAULT,You can't resume now!,今は再開できない！
UI_POPUP_FAIL_PLAYER_DEATH,You'll die if you resume now!,今は再開したら|死ぬ！
UI_POPUP_FAIL_CLONE_DEATH,A clone will die if you resume now!,今は再開したら|クローンが死ぬ！
UI_POPUP_FAIL_OUT_OF_TIME,You're out of time!,時間切れだ！
UI_POPUP_FAIL_OUT_OF_CHARGES,No clone charges are available!,クローン数|がない！
UI_POPUP_FAIL_INEPTUS_DEATH,You need to take Ineptus alive!,イーネプタス|を殺すな！
